rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.7573,0.7397,0.625,1.0,6,5,False,True
2,frame_0077.jpg,30.8,0.7556,0.7842,0.625,0.88,8,5,False,False
3,frame_0387.jpg,154.8,0.7172,0.7545,1.0,0.2,10,8,False,True
4,frame_0008.jpg,3.2,0.7129,0.8759,0.25,1.0,3,2,False,True
5,frame_0000.jpg,0.0,0.7025,0.705,0.5,1.0,7,4,False,True
6,frame_0010.jpg,4.0,0.6956,0.9912,0.0,1.0,1,0,False,False
7,frame_0005.jpg,2.0,0.6814,0.5877,0.625,1.0,5,5,False,False
8,frame_0124.jpg,49.6,0.6573,0.7425,0.5,0.68,9,4,False,True
9,frame_0072.jpg,28.8,0.6457,0.5914,0.5,1.0,6,4,False,False
10,frame_0015.jpg,6.0,0.6452,0.6655,0.375,1.0,4,3,False,True
11,frame_0129.jpg,51.6,0.6409,0.7048,0.375,0.88,6,3,False,True
12,frame_0291.jpg,116.4,0.6335,0.556,0.625,0.84,6,5,False,True
13,frame_0030.jpg,12.0,0.6224,0.4699,0.625,1.0,8,5,False,True
14,frame_0070.jpg,28.0,0.6174,0.6097,0.375,1.0,7,3,False,False
15,frame_0294.jpg,117.6,0.6117,0.7104,0.375,0.72,6,3,False,False
16,frame_0318.jpg,127.2,0.6057,0.7403,0.625,0.24,9,5,False,True
17,frame_0067.jpg,26.8,0.6056,0.5112,0.5,1.0,8,4,False,True
18,frame_0079.jpg,31.6,0.6025,0.6599,0.375,0.8,8,3,False,True
19,frame_0209.jpg,83.6,0.601,0.6891,0.375,0.72,3,3,False,False
20,frame_0130.jpg,52.0,0.5998,0.6067,0.375,0.92,4,3,False,False
21,frame_0289.jpg,115.6,0.5962,0.6634,0.375,0.76,6,3,False,False
22,frame_0031.jpg,12.4,0.5944,0.4888,0.5,1.0,7,4,False,False
23,frame_0389.jpg,155.6,0.5936,0.7642,0.625,0.12,7,5,False,False
24,frame_0002.jpg,0.8,0.5923,0.4846,0.5,1.0,7,4,False,False
25,frame_0169.jpg,67.6,0.5922,0.6765,0.5,0.52,6,4,False,False
26,frame_0001.jpg,0.4,0.5887,0.5525,0.375,1.0,6,3,False,False
27,frame_0074.jpg,29.6,0.583,0.541,0.375,1.0,7,3,False,False
28,frame_0007.jpg,2.8,0.5814,0.4628,0.5,1.0,5,4,False,False
29,frame_0020.jpg,8.0,0.5791,0.6831,0.125,1.0,2,1,False,False
30,frame_0078.jpg,31.2,0.5778,0.5946,0.375,0.84,7,3,False,False
31,frame_0076.jpg,30.4,0.5768,0.5607,0.375,0.92,5,3,False,False
32,frame_0018.jpg,7.2,0.5756,0.5261,0.375,1.0,5,3,False,False
33,frame_0275.jpg,110.0,0.5752,0.6954,0.625,0.2,7,5,False,False
34,frame_0386.jpg,154.4,0.5719,0.7477,0.5,0.24,7,4,False,False
35,frame_0029.jpg,11.6,0.5714,0.5177,0.375,1.0,6,3,False,False
36,frame_0368.jpg,147.2,0.5697,0.6735,0.75,0.04,10,6,False,False
37,frame_0297.jpg,118.8,0.563,0.6609,0.375,0.6,4,3,False,False
38,frame_0167.jpg,66.8,0.5626,0.6602,0.375,0.6,5,3,False,False
39,frame_0021.jpg,8.4,0.5617,0.4234,0.5,1.0,5,4,False,False
40,frame_0293.jpg,117.2,0.5609,0.5927,0.375,0.76,4,3,False,False
41,frame_0292.jpg,116.8,0.5607,0.5015,0.5,0.8,6,4,False,False
42,frame_0003.jpg,1.2,0.5594,0.4938,0.375,1.0,4,3,False,False
43,frame_0127.jpg,50.8,0.5581,0.4962,0.5,0.8,5,4,False,False
44,frame_0390.jpg,156.0,0.5573,0.7826,0.5,0.08,6,4,False,False
45,frame_0075.jpg,30.0,0.5565,0.5791,0.25,0.96,5,2,False,False
46,frame_0011.jpg,4.4,0.5554,0.5609,0.25,1.0,3,2,False,False
47,frame_0367.jpg,146.8,0.552,0.547,0.875,0.08,9,7,False,False
48,frame_0284.jpg,113.6,0.5515,0.6541,0.375,0.56,5,3,False,False
49,frame_0384.jpg,153.6,0.5502,0.8113,0.375,0.16,7,3,False,False
50,frame_0128.jpg,51.2,0.5492,0.5374,0.375,0.84,8,3,False,False
51,frame_0071.jpg,28.4,0.5476,0.5452,0.25,1.0,7,2,False,False
52,frame_0170.jpg,68.0,0.5462,0.6004,0.5,0.48,7,4,False,False
53,frame_0278.jpg,111.2,0.5457,0.6634,0.5,0.32,7,4,False,False
54,frame_0282.jpg,112.8,0.5451,0.5982,0.5,0.48,5,4,False,False
55,frame_0328.jpg,131.2,0.5448,0.6075,0.75,0.08,8,6,False,False
56,frame_0068.jpg,27.2,0.5422,0.4594,0.375,1.0,8,3,False,False
57,frame_0288.jpg,115.2,0.5398,0.5667,0.375,0.72,6,3,False,False
58,frame_0168.jpg,67.2,0.5363,0.6237,0.375,0.56,6,3,False,False
59,frame_0397.jpg,158.8,0.5354,0.6909,0.5,0.2,7,4,False,False
60,frame_0126.jpg,50.4,0.5338,0.5386,0.375,0.76,7,3,False,False
61,frame_0290.jpg,116.0,0.5329,0.5208,0.375,0.8,6,3,False,False
62,frame_0006.jpg,2.4,0.5322,0.5143,0.25,1.0,3,2,False,False
63,frame_0378.jpg,151.2,0.5314,0.5809,0.75,0.08,9,6,False,False
64,frame_0088.jpg,35.2,0.5313,0.7366,0.25,0.44,3,2,False,False
65,frame_0069.jpg,27.6,0.5305,0.436,0.375,1.0,6,3,False,False
66,frame_0306.jpg,122.4,0.5288,0.6616,0.5,0.24,7,4,False,False
67,frame_0375.jpg,150.0,0.5227,0.6654,0.5,0.2,8,4,False,False
68,frame_0230.jpg,92.0,0.522,0.696,0.5,0.12,7,4,False,False
69,frame_0388.jpg,155.2,0.5208,0.5276,0.75,0.16,9,6,False,False
70,frame_0089.jpg,35.6,0.519,0.503,0.625,0.4,6,5,False,False
71,frame_0305.jpg,122.0,0.5181,0.5491,0.625,0.28,6,5,False,False
72,frame_0286.jpg,114.4,0.5173,0.6286,0.25,0.64,7,2,False,False
73,frame_0279.jpg,111.6,0.5136,0.5833,0.5,0.36,7,4,False,False
74,frame_0201.jpg,80.4,0.512,0.6499,0.25,0.56,3,2,False,False
75,frame_0173.jpg,69.2,0.5101,0.5762,0.5,0.36,6,4,False,False
76,frame_0033.jpg,13.2,0.5068,0.4636,0.25,1.0,8,2,False,False
77,frame_0105.jpg,42.0,0.5059,0.6047,0.625,0.08,5,5,False,False
78,frame_0014.jpg,5.6,0.5049,0.3848,0.375,1.0,4,3,False,False
79,frame_0285.jpg,114.0,0.5046,0.5442,0.375,0.6,5,3,False,False
80,frame_0317.jpg,126.8,0.5004,0.6959,0.375,0.2,6,3,False,False
81,frame_0396.jpg,158.4,0.5,0.636,0.5,0.16,8,4,False,False
82,frame_0274.jpg,109.6,0.4996,0.6352,0.5,0.16,8,4,False,False
83,frame_0202.jpg,80.8,0.4986,0.6073,0.25,0.6,3,2,False,False
